Candidate,time,URL,Message,社會住宅,幼托政策,長照政策,運輸,經濟發展,other,manual_label
蔣萬安,2022-07-11 18:07:51 CST,https://www.facebook.com/100044398990795/posts/590515479105080,城市進步的另一面，是許多被遺忘的角落 這座位在內湖新明路的老公寓，30年前原本要做為果菜市場使用，後來因故將地下室改建成一間一間的出租雅房，猶如電影《寄生上流》中的「地下穴居」。 這裡的居住環境十分惡劣，不通風的地下室，汙水很難排除，容易引來蚊蟲孳生；電線老舊、外露，狹小的走道上堆滿了廚具、瓦斯桶、洗衣機和生活雜物，都形成公安上的隱憂。 熱心的麗玲里長一直把住民當作自己的家人在照顧，她告訴我，現在居住在這裡的多是經濟弱勢和獨居長輩。其中一位住民宋大哥，他是環保局的聘雇人員，收入微薄，加上行動不方便，讓他在尋找住處時相對比較困難。住不起、租不到，是這裡住民普遍的遭遇。 礙於現行的消防和建管法規，穴居的使用成了三不管地帶。我認為在消防安全的保障上，不能有絲毫的妥協，也不能因為法規沒有限制，就兩手一攤。 未來除了從法規面下手，更要結合各界資源，公私協力幫助弱勢長輩擺脫生活困境。租屋問題不是青年專屬議題，弱勢長輩的租屋同樣需要我們關注。 謝謝在地的議員和里長，一直以來給這裡的長輩很多關心。我也承諾會從社福、公安等層面，通盤檢討弱勢長輩的居住問題，協助他們找到更安全、合宜的住所，有一個遮風避雨的家。 ♾和台北隊一起全力守護市民：李彥秀、李明賢 -阿賢之聲、游淑慧 台北市議員、丘麗玲 週美里大小事 #萬安日誌 #你加台北就是無限 #TeamTaipei #蔣萬安,1,,1.0,,,1.0,"1, 3, 6"
林佳龍,2022-11-19 22:01:32 CST,https://www.facebook.com/100044464388138/posts/682459166579557,鶯歌龍來運轉！新北桃園大雙贏！ ​ 感謝我一路的好戰友 蘇巧慧 委員用心安排與邀請，今天讓佳龍有機會與 蘇貞昌 院長、 鄭文燦 市長，以及首都圈戰友 鄭運鵬 Cheng Yun-Peng ，在選戰倒數 7 天，一起在鶯歌合體，展現力拚新北、桃園雙贏的決心！鶯歌，有我們蘇院長讓新北人引以為榮的政績，不管是鶯歌老街還是陶瓷博物館，都是新北重要的文化資產，也有世界級的潛力。 ​ 鶯歌與八德是好厝邊，大鳳鳴地區更有共同生活圈，市民要有更好的建設與福利，一定要如蘇院長所說的，要有能拋開本位主義、進行跨域治理的首長，聯手帶領北桃前進！ ​ 「跨域合作」不是現在喊出的未來式，而是我在交通部長任內就積極推動的目標，當時因為有鄭文燦市長溝通協調，以及蘇巧慧、鄭運鵬在立法院努力爭取，才催生了桃園鐵路地下化將鳳鳴站納入、鳳鳴臨時車站等建設與軌道規劃。 ​ 尤其我們的老縣長、蘇院長在中央更是大力爭取資源支持新北，但侯市長的建設效率不僅差、更不願意與桃園合作交通月票，既然侯市長看不見市民的需求，那就交棒換我來做！ ​ 未來在新北、桃園的合作上，我會從交通建設、水域治理、產業發展和觀光旅遊四大領域著手，包括現在已宣佈的「首都圈 1200 元月票」政見，彼此串連、聯合行銷，造福市民的同時，也加快城市發展速度。 ​ 選戰進入倒數七天，感謝蘇院長再次來到新北站台，能與老朋友文燦、戰友巧慧及運鵬共同奮鬥到此刻，也讓我更加有信心贏得勝選，新北、桃園一定能雙贏！讓我們一起贏！,,,,1.0,1.0,1.0,"4, 5, 6"
黃珊珊,2022-09-20 09:00:26 CST,https://www.facebook.com/100044528885416/posts/627839358710355,如果震度6級的地震發生在台北市，將會發生什麼事？ ​ 我的競選政策總顧問，前內政部長李鴻源表示，如果震度6級的地震發生在台北市，後果不堪設想。全台北屋齡30年以上的老屋高達64萬戶，都市更新刻不容緩！ ​ 我想做的 #防災型都更，是當災難發生時，我們可以安然渡過！ ​ ● 以ROD的方式增加獎勵容積，加速都更：淡水河沿岸的士林、北投、萬華、中山、大同一帶，正好是土壤液化相較嚴重的地區，ROD的推動不僅僅是美化河岸景觀，更主要是解決安全問題。 ​ ● #台北未來宅：許多老社區住著年紀大的長輩，在外租房並不容易，透過EOD閒置校舍整併改建做為 #中繼住宅 的土地來源，讓住戶可以安心等待舊房子更新完成後，再搬回來。 ​ ● 都更紅利全民共享：市府依據各區域條件需求程度訂定相應的容積額度，公私合作，開放「以租代購」、「以租轉售」、「以房養老」三種模式，活化台北未來宅(中繼住宅)輪轉過程，增加房屋使用效率，不僅青年族群能以較輕的房價負擔安居，也讓市府擴充財源，挹注在更多社會福利，全民都享受得到。 ​ ● 危險區域普查：分級分類，高度危險之虞的優先都更，找周邊的公有地媒合，公私協力共同改善城市風貌。 ​ 未來我會在李鴻源部長的監督下，用心推動防災型都更，也歡迎所有市議員候選人，和我們一起，為了市民的生命財產安全盡一份心力，讓接下來的都更像花朵一樣綻放！ ​ #TaipeiK33PGoing #偉大市民齊步共贏 #黃珊珊,1,,1.0,,,1.0,"1, 3, 6"
林佳龍,2022-10-22 17:35:01 CST,https://www.facebook.com/100044464388138/posts/661630661995741,新北大翻新，全國旅新北同鄉之夜！ ​ 新北市有許多旅北鄉親，雖然來自不同縣市、但都在此共同打拚，凝聚出「新故鄉的」情感，相信各位出外囡仔，都期待能和新北一起翻新又翻身！ ​ 明天晚上，佳龍將舉辦「全國旅新北同鄉之夜」，邀請到 賴清德 副總統為 #新北1定贏 的氣勢助陣，同時嘉義縣長 翁章梁 Weng Chang-Liang 、彰化縣長候選人 黃秀芳 、雲林縣長候選人 劉建國 ，以及 蘇巧慧 委員、 余天 Yu Tian 委員、 阮昭雄 議員，也將集結到場相挺！ ​ 邀請各位朋友，明晚一起到三重三和國中操場，展現旅北鄉親的團結力量、欣賞熱鬧翻騰的歌手表演，在最後階段衝高士氣，共同推動新北大翻新！ ​ 📍 新北大翻新‧全國旅新北同鄉之夜 時間：10 月 23 日（日）下午 17：00報到 地點：三和國中操場（三重區三和路四段216號）,,,,,,1.0,6
陳時中,2022-11-10 08:13:28 CST,https://www.facebook.com/100720289384352/posts/145587521564295,萬人上凱道 #悉中ㄟ 朋友 👊讚出來👊 逐家好，我是阿中，首都之戰進入最後衝線坎站，距離投票日愈來愈近，我知影你比我較緊張，但是逐家毋免驚，心頭抓予定，勇敢綴我行！ 過去這段日子，我全力以赴，跑遍台北12個行政區，聆聽百工百業與所有市民的心聲；我有自信，我是唯一提出最完整市政政策的候選人。我堅持把事做好，讓台北更好。我一個人的力量不大，但逐家共一心，烏塗嘛會變成金，雖然我的官方LINE報名已額滿，但我仍需要大家站出來，以實際行動力挺我。 11月12號，這個禮拜六，在凱達格蘭大道，蔡英文 Tsai Ing-wen 總統相招辣台派進行雙北大造勢，悉中ㄟ好朋友一起來！,,,,,,1.0,6
林佳龍,2022-10-08 21:15:01 CST,https://www.facebook.com/100044464388138/posts/650746623084145,票投林佳龍，為新北市民做事！ ​ 上個週末，佳龍與 蘇貞昌 院長及團隊夥伴，一起參加 吳秉叡 委員舉辦的秉友會萬人登山健行，集結翻轉新北的意志，展現高昂的團隊士氣！ ​ 投入選舉後我四處參訪，鄉親常與我稱讚「老縣長」的政績，也感嘆現在城市升格、生活卻沒升級，對新北有深厚情感、深知鄉親期待的蘇院長，當天特別懇託大家：「支持新北大翻新，讓林佳龍帶來改變！」 ​ 選戰下半場已經開始，我會努力打拚，爭取延續民進黨在新北建設的基礎，「蘇貞昌的政見、林佳龍來實現」，年底一定要市長、議員全壘打，讓新北真正脫胎換骨，帶動首都圈發展新格局！,,,,,1.0,1.0,"5, 6"
黃珊珊,2022-10-26 09:03:44 CST,https://www.facebook.com/100044528885416/posts/655920692568888,我説話、我做事、我做任何決定，我全都負責，不會把資料封存30年。 ​ 城博會的起因很簡單，去年9月8號，我與市長、美學辦公室執行長李得全秘書長到松菸參觀展覽，10月3日台灣設計研究院到市府向市長簡報，市長裁示配合台灣燈會，前置展以城市博覽會方式辦理。 ​ 經討論後，市長裁示由研考會主政，動用第二預備金進行先期規劃，所以10月4日時，我先以紙本文字交辦研考會，以利進行後續流程，這張紙本就成為 #公文內簽的附件 ，所有公文都一清二楚，議員不公布全部公文，就是斷章取義、扭曲事實。 ​ 我做事坦坦蕩蕩，所以具名書面交辦，我寫的，我負責。 ​ 我不會將「我負責」掛在嘴上，結果連會議紀錄都沒有，責任來馬上跑。 ​ 上次這位議員也質詢我在副市長任內去『市場視察87次』，反而證明我是一個認真、負責、勤政的副市長，這次，更可證明我們可經檢驗，我也勇於任事與承擔。 ​ 我要強調，台北市早已經是一個法治城市，公務人員也絕不會違反程序與法令，為了選舉，這些魚目混珠的選舉奧步，真的大可不必。 ​ #黃珊珊 #八號黃珊珊 #TaipeiK33PGoing #偉大市民齊步共贏,,,,,,1.0,6
林佳龍,2022-09-14 17:32:46 CST,https://www.facebook.com/100044464388138/posts/632519531573521,侯市長，面對過去，才會有真正的勇氣。 ​ 這幾天，鄭南榕 Nylon 的名字再度被社會關注，上了 google 的熱門關鍵字，我很高興 Nylon 沒有被世人遺忘。 ​ 前天是鄭南榕 75 歲冥誕，佳龍受邀前往基金會紀念他，在 33 年前受 200 多位警方包圍的雜誌社原址，看著時間彷彿停止流動、仍然保持當年烈焰焚燒後焦黑原況的總編輯室，身邊站著菊蘭姊和竹梅，我向 Nylon 獻花致意、說幾句話時，心中只有深深的不捨。 ​ 同樣讓人不捨的，是昨天看到竹梅在 蘇巧慧 委員、 李晏榕 Yen-jong Lee 發言人陪同下在立院召開記者會，竹梅提到他 2018、2019 年看過政治監控檔案後發現，當年拘提鄭南榕時警政署其實研擬了三個方案，包括「和平等待人出來」，然而，當年負責執行拘提任務的侯警官，卻選擇了最激烈的方式，導致 Nylon 自焚的遺憾結果。因此，竹梅向侯市長提問「為何採取最激烈的方案？」，任何有血有淚之人，都感到不忍。 ​ 侯市長，這個問題其實放在竹梅心裡幾年了，她不曾問過你，之所以現在向你提問，是因為你的團隊重話批評，紀念鄭南榕是政治操作，激起了家人還有社會深層的創痛。 ​ 我認為侯市長有責任回答竹梅的提問，我也想提醒侯市長，向你提出問題的竹梅，在 9 歲那年警方的拘提行動中，永遠失去了她口中像太陽一樣的父親，但原來當年我們可以不必失去鄭南榕。 ​ 無論是 2018 年、還是在 2022 年竹梅已經看過政治檔案的現在，侯友宜面對鄭南榕議題的回應都是「依法執行、奉命行事、問心無愧」、「如果再來一次還是一樣決定」。 ​ 1989 年尚在解嚴初期，33 年過去，台灣也走了一大段民主化的路途，侯市長作為當年拘提行動的指揮者、執行者，到民主時代當選直轄市長、現在對外表態勇於承擔 2024 年總統責任、有志問鼎大位的政治人物，是否一樣「問心無愧」、「再一次也會抓人」？這是侯市長無從迴避的問題，你應誠實面對自己做過的事，拿出面對過去的勇氣，說明 33 年前 4 月 7 號那天，你的決定。 ​ 鄭南榕之死，重如泰山，33 年來我們一次次緬懷他捍衛言論自由的壯志，但是隨著檔案的揭露，他的故事還沒結束，他的孩子還在等你的答案。 ​ 我想告訴侯市長，「奉命行事、依法行政」不足以面對歷史的鏡子。當年你「依惡法行政」，固然有你口中的時空背景，但除了不曾對台灣民主作出貢獻，你尚無情抓過許多民主鬥士。 ​ 今天你高舉尊重言論自由的旗幟，享受民主的果實的同時，你有義務向社會大眾解密，也向家屬道歉。,,,,,,1.0,6
林佳龍,2022-08-14 19:03:54 CST,https://www.facebook.com/100044464388138/posts/611779763647498,支持體育，推動新北「運動局」！ 今天上午，超級盃全國慢速壘球錦標賽在樹林舉行，佳龍很榮幸能擔任開球打擊嘉賓，許久沒有揮棒了，很開心能為錦標賽擊出好球！ 我自己很喜歡壘球運動，過去也與台中義警消、喜愛慢壘的朋友，共同成立「台中龍隊」，至今已經十多年，還得過總統盃冠軍。我們台中市長任內也設立「運動局」，蓋運動中心，全面推動體育、支持運動產業發展。 新北市是全台最大直轄市，也有很多愛好棒壘運動的朋友，每到假日各河灘地的球場都看的到大大小小的比賽。未來佳龍若擔任市長，將會推動成立「運動局」，透過球場周邊的軟硬體設施、進出交通環境等建設，讓市民能享受完善、舒適的運動環境。 我也認為，新北市應該在體育人才、場館、預算上持續增加，包括增設國民運動中心、舉辦大型國際運動賽事，透過專責運動機構，搭配運動產業發展條例，整合各項資源、全面推動體育。 佳龍若擔任市長，對於運動的支持，只會增加，不會減少！希望能讓大家享受運動、關注運動、支持運動，打造新北市成為健康之都！ 今天非常感謝 何博文 Ho Po-wen 議員的邀請，讓我跟好朋友一起在週六早上曬曬太陽，活動筋骨。 你今天運動了嗎？記得動一動喔！ 蘇巧慧 吳琪銘 卓冠廷 高乃芸 黃淑君 板橋 為你衝第一．彭一書,,,,,,1.0,6
陳時中,2022-10-10 11:56:02 CST,https://www.facebook.com/100720289384352/posts/136122039177510,台灣的台北，世界的台北，我當市長，把世界帶進台北！👉 https://youtu.be/rEwvvXrTJmk:=:https://www.youtube.com/watch?v=rEwvvXrTJmk ​ 台北是台灣的首都，若要與國際一流城市並駕齊驅，市府本身的國際事務組織，其架構應更加制度化。因此，設置專責單位，將城市外交、會展經濟、全球招商、國際交流，有效率地策劃執行。 ​ 我當市長，將盤整資源，深化台北與國際間的交流，向全世界傳達台灣文化之美。在既有基礎上增添軟實力，說好台北的故事，增加市民的認同與光榮感。 ​ 今天這支影片，彙整我與國際友人社群交流時，他們提及在台北工作與生活中面對的各項困難與議題。這些外國友人即便來自不同的國家，都把這裡當成自己第二個家，我想為他們做得更多，使台北成為一座友善的國際都市。,,,,,1.0,1.0,"5, 6"
黃珊珊,2022-09-18 12:15:17 CST,https://www.facebook.com/100044528885416/posts/626682745492683,跑完5km後居然接 #國際牛肉麵大賞 ，這行程真的太無情了。 ​ 我上台鳴笛開賽時，後面已經開始在備料，陣陣香氣一直飄過來，我聞起來是覺得每間都是冠軍，等等大家路過花博，想必都會跟我一樣口水直流。 ​ 這兩年來，遇到牛肉麵交流發展協會理事長洪師父時，他總跟我說，牛肉麵節一定要擴大舉辦。走過疫情後，現在我們夢想成真，終於回到花博公園，希望下次會是在爭艷館舉辦！ ​ 台灣的牛肉麵享譽世界，除了本土選手外，今年也多了國際選手參加，希望這個賽事，未來能在世界舞台上更加知名。我也聽說拿過冠軍的店家，店內都是高朋滿座，祝各位手藝精湛的師父們，未來生意都強強滾！ ​ #TaipeiK33PGoing #偉大市民齊步共贏 #黃珊珊,,,,,1.0,1.0,"5, 6"
